area_title,occ_title,tot_emp
Alabama,All Occupations,"1,974,170"
Alabama,Management Occupations,"83,760"
Alabama,Chief Executives,"1,320"
Alabama,General and Operations Managers,"30,790"
Alabama,Legislators,"1,110"
Alabama,Advertising and Promotions Managers,70
Alabama,Marketing Managers,"1,040"
Alabama,Sales Managers,"2,670"
Alabama,Public Relations and Fundraising Managers,510
Alabama,Administrative Services and Facilities Managers,"1,050"
Alabama,Computer and Information Systems Managers,"3,650"
Alabama,Financial Managers,"5,480"
Alabama,Industrial Production Managers,"3,320"
Alabama,Purchasing Managers,880
Alabama,"Transportation, Storage, and Distribution Managers","1,250"
Alabama,Compensation and Benefits Managers,60
Alabama,Human Resources Managers,"1,440"
Alabama,Training and Development Managers,210
Alabama,Construction Managers,"3,650"
Alabama,"Education and Childcare Administrators, Preschool and Daycare",470
Alabama,"Education Administrators, Kindergarten through Secondary","3,630"
Alabama,"Education Administrators, Postsecondary",**
Alabama,Architectural and Engineering Managers,"2,340"
Alabama,Food Service Managers,"2,690"
Alabama,Lodging Managers,490
Alabama,Medical and Health Services Managers,**
Alabama,Natural Sciences Managers,200
Alabama,Postmasters and Mail Superintendents,280
Alabama,"Property, Real Estate, and Community Association Managers","1,750"
Alabama,Social and Community Service Managers,**
Alabama,Emergency Management Directors,220
Alabama,Funeral Home Managers,220
Alabama,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other","2,170"
Alabama,Business and Financial Operations Occupations,"78,600"
Alabama,Buyers and Purchasing Agents,"6,440"
Alabama,"Claims Adjusters, Examiners, and Investigators","4,160"
Alabama,"Insurance Appraisers, Auto Damage",240
Alabama,Compliance Officers,"2,140"
Alabama,Cost Estimators,"2,180"
Alabama,Human Resources Specialists,"6,100"
Alabama,Labor Relations Specialists,890
Alabama,Logisticians,"4,060"
Alabama,Management Analysts,"4,630"
Alabama,"Meeting, Convention, and Event Planners",720
Alabama,Fundraisers,650
Alabama,"Compensation, Benefits, and Job Analysis Specialists",590
Alabama,Training and Development Specialists,"2,520"
Alabama,Market Research Analysts and Marketing Specialists,"4,410"
Alabama,"Project Management Specialists and Business Operations Specialists, All Other","7,580"
Alabama,Accountants and Auditors,"17,400"
Alabama,Property Appraisers and Assessors,900
Alabama,Budget Analysts,860
Alabama,Credit Analysts,510
Alabama,Personal Financial Advisors,"1,950"
Alabama,Insurance Underwriters,840
Alabama,Financial Examiners,"1,270"
Alabama,Credit Counselors,230
Alabama,Loan Officers,"3,720"
Alabama,"Tax Examiners and Collectors, and Revenue Agents","1,000"
Alabama,Tax Preparers,500
Alabama,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","2,110"
Alabama,Computer and Mathematical Occupations,"44,070"
Alabama,Computer Systems Analysts,"4,310"
Alabama,Information Security Analysts,"1,570"
Alabama,Computer Network Support Specialists,"1,210"
Alabama,Computer User Support Specialists,"6,480"
Alabama,Computer Network Architects,"1,310"
Alabama,Network and Computer Systems Administrators,"4,090"
Alabama,Database Administrators and Architects,"2,430"
Alabama,Computer Programmers,"6,200"
Alabama,Software Developers and Software Quality Assurance Analysts and Testers,"11,800"
Alabama,Web Developers and Digital Interface Designers,760
Alabama,"Computer Occupations, All Other","2,240"
Alabama,Actuaries,100
Alabama,Operations Research Analysts,670
Alabama,Statisticians,220
Alabama,Architecture and Engineering Occupations,"44,480"
Alabama,"Architects, Except Landscape and Naval","1,010"
Alabama,Landscape Architects,**
Alabama,Cartographers and Photogrammetrists,100
Alabama,Surveyors,**
Alabama,Aerospace Engineers,"4,070"
Alabama,Chemical Engineers,630
Alabama,Civil Engineers,"4,020"
Alabama,Computer Hardware Engineers,"1,190"
Alabama,Electrical Engineers,"4,600"
Alabama,"Electronics Engineers, Except Computer","1,620"
Alabama,Environmental Engineers,800
Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",620
Alabama,Industrial Engineers,"5,900"
Alabama,Materials Engineers,790
Alabama,Mechanical Engineers,"3,650"
Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",180
Alabama,Petroleum Engineers,80
Alabama,"Engineers, All Other","3,620"
Alabama,Architectural and Civil Drafters,"1,020"
Alabama,Electrical and Electronics Drafters,270
Alabama,Mechanical Drafters,700
Alabama,"Drafters, All Other",180
Alabama,Aerospace Engineering and Operations Technologists and Technicians,460
Alabama,Civil Engineering Technologists and Technicians,"1,900"
Alabama,Electrical and Electronic Engineering Technologists and Technicians,"2,230"
Alabama,Electro-Mechanical and Mechatronics Technologists and Technicians,60
Alabama,Environmental Engineering Technologists and Technicians,240
Alabama,Industrial Engineering Technologists and Technicians,980
Alabama,Mechanical Engineering Technologists and Technicians,610
Alabama,Surveying and Mapping Technicians,800
Alabama,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",790
Alabama,"Life, Physical, and Social Science Occupations","10,740"
Alabama,Food Scientists and Technologists,80
Alabama,Soil and Plant Scientists,70
Alabama,Microbiologists,140
Alabama,Zoologists and Wildlife Biologists,210
Alabama,"Biological Scientists, All Other",270
Alabama,Conservation Scientists,100
Alabama,Foresters,260
Alabama,Epidemiologists,60
Alabama,"Medical Scientists, Except Epidemiologists",510
Alabama,"Life Scientists, All Other",70
Alabama,Physicists,170
Alabama,Atmospheric and Space Scientists,100
Alabama,Chemists,700
Alabama,Materials Scientists,60
Alabama,"Environmental Scientists and Specialists, Including Health",870
Alabama,"Geoscientists, Except Hydrologists and Geographers",160
Alabama,"Physical Scientists, All Other",110
Alabama,Economists,50
Alabama,"Clinical, Counseling, and School Psychologists",770
Alabama,"Psychologists, All Other",130
Alabama,Urban and Regional Planners,430
Alabama,Anthropologists and Archeologists,60
Alabama,"Social Scientists and Related Workers, All Other",220
Alabama,Agricultural and Food Science Technicians,120
Alabama,Biological Technicians,630
Alabama,Chemical Technicians,"1,310"
Alabama,"Environmental Science and Protection Technicians, Including Health",240
Alabama,Geological and Hydrologic Technicians,40
Alabama,Social Science Research Assistants,40
Alabama,Forest and Conservation Technicians,200
Alabama,Forensic Science Technicians,160
Alabama,"Life, Physical, and Social Science Technicians, All Other",450
Alabama,Occupational Health and Safety Specialists,"1,330"
Alabama,Occupational Health and Safety Technicians,340
Alabama,Community and Social Service Occupations,"19,650"
Alabama,"Educational, Guidance, and Career Counselors and Advisors","4,460"
Alabama,Marriage and Family Therapists,260
Alabama,Rehabilitation Counselors,830
Alabama,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","1,860"
Alabama,"Counselors, All Other",140
Alabama,"Child, Family, and School Social Workers","3,510"
Alabama,Healthcare Social Workers,"2,530"
Alabama,Mental Health and Substance Abuse Social Workers,"1,080"
Alabama,"Social Workers, All Other",420
Alabama,Health Education Specialists,440
Alabama,Probation Officers and Correctional Treatment Specialists,**
Alabama,Social and Human Service Assistants,"1,920"
Alabama,Community Health Workers,510
Alabama,"Community and Social Service Specialists, All Other",210
Alabama,Clergy,520
Alabama,"Directors, Religious Activities and Education",60
Alabama,Legal Occupations,"10,960"
Alabama,Lawyers,"5,900"
Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",100
Alabama,"Arbitrators, Mediators, and Conciliators",40
Alabama,"Judges, Magistrate Judges, and Magistrates",530
Alabama,Paralegals and Legal Assistants,"3,780"
Alabama,"Title Examiners, Abstractors, and Searchers",380
Alabama,"Legal Support Workers, All Other",220
Alabama,Educational Instruction and Library Occupations,"105,240"
Alabama,"Business Teachers, Postsecondary",860
Alabama,"Computer Science Teachers, Postsecondary",520
Alabama,"Mathematical Science Teachers, Postsecondary",810
Alabama,"Engineering Teachers, Postsecondary",590
Alabama,"Agricultural Sciences Teachers, Postsecondary",170
Alabama,"Biological Science Teachers, Postsecondary","1,980"
Alabama,"Forestry and Conservation Science Teachers, Postsecondary",50
Alabama,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",90
Alabama,"Chemistry Teachers, Postsecondary",350
Alabama,"Environmental Science Teachers, Postsecondary",40
Alabama,"Physics Teachers, Postsecondary",180
Alabama,"Anthropology and Archeology Teachers, Postsecondary",50
Alabama,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",70
Alabama,"Economics Teachers, Postsecondary",210
Alabama,"Geography Teachers, Postsecondary",30
Alabama,"Political Science Teachers, Postsecondary",150
Alabama,"Psychology Teachers, Postsecondary",480
Alabama,"Sociology Teachers, Postsecondary",150
Alabama,"Social Sciences Teachers, Postsecondary, All Other",50
Alabama,"Health Specialties Teachers, Postsecondary","1,850"
Alabama,"Nursing Instructors and Teachers, Postsecondary","1,240"
Alabama,"Education Teachers, Postsecondary",810
Alabama,"Library Science Teachers, Postsecondary",160
Alabama,"Criminal Justice and Law Enforcement Teachers, Postsecondary",120
Alabama,"Law Teachers, Postsecondary",70
Alabama,"Social Work Teachers, Postsecondary",200
Alabama,"Art, Drama, and Music Teachers, Postsecondary",840
Alabama,"Communications Teachers, Postsecondary",270
Alabama,"English Language and Literature Teachers, Postsecondary","1,100"
Alabama,"Foreign Language and Literature Teachers, Postsecondary",120
Alabama,"History Teachers, Postsecondary",370
